case,launch_power_per_channel_dbm,paper_reference_throughput_tbps,physical_model_throughput_tbps,equivalent_eq1_fit_throughput_tbps,physical_residual_tbps,equivalent_fit_residual_tbps
HCF,52.0,2.43625229304,2.57080618413,2.43591254291,0.134553891089,-0.000339750130861
HCF,53.0,1.59645305877,1.6879982132,1.59621097027,0.0915451544337,-0.000242088495359
HCF,54.0,1.03291225578,1.09367032092,1.0327464372,0.0607580651312,-0.000165818583339
HCF,55.0,0.662491764709,0.702123701817,0.662381314287,0.0396319371075,-0.000110450422699
HCF,56.0,0.42244531872,0.447996136424,0.422373131786,0.0255508177047,-7.21869334454e-05
HCF,57.0,0.268353836183,0.28469990804,0.268307246367,0.016346071857,-4.6589815178e-05
HCF,58.0,0.170050514317,0.180455628666,0.170020690009,0.0104051143492,-2.98243080559e-05
HCF,59.0,0.107588224047,0.11419033401,0.107569232381,0.00660210996329,-1.89916658285e-05
HCF,60.0,0.0680011552676,0.0721816396906,0.0679891022823,0.004180484423,-1.20529852449e-05
SMF,-30.0,0.0514270032345,5.85606068693,0.0514234572748,5.8046336837,-3.54595976997e-06
SMF,-29.0,0.0647052341976,6.98357211066,0.0647008531086,6.91886687647,-4.38108901343e-06
SMF,-28.0,0.0813996901362,8.25964633766,0.081394305584,8.17824664752,-5.38455218517e-06
SMF,-27.0,0.102382242363,9.6842586171,0.102375669808,9.58187637473,-6.57255573744e-06
SMF,-26.0,0.128743197832,11.2530315857,0.12873524772,11.1242883879,-7.95011112467e-06
SMF,-25.0,0.161843677958,12.95744528,0.161834178223,12.795601602,-9.49973535219e-06
SMF,-24.0,0.203379210452,14.7853853124,0.203368047568,14.582006102,-1.11628839419e-05
SMF,-23.0,0.255456155138,16.7219031461,0.255443344913,16.4664469909,-1.28102248839e-05
SMF,-22.0,0.320682340882,18.7500374016,0.320668145731,18.4293550608,-1.41951511293e-05
SMF,-21.0,0.402272674656,20.8515620914,0.4022577919,20.4492894168,-1.48827563323e-05
SMF,-20.0,0.504169287351,23.0075728767,0.504155143328,22.5034035894,-1.41440233206e-05
SMF,-19.0,0.6311737324,25.1988768167,0.63116292968,24.5677030843,-1.08027207114e-05
SMF,-18.0,0.789085533366,27.4061994029,0.789082511702,26.6171138695,-3.02166357735e-06
SMF,-17.0,0.984836676761,29.6102575593,0.984848658938,28.6254208826,1.19821776967e-05
SMF,-16.0,1.22660529941,31.7917679204,1.2266435935,30.565162621,3.82940926724e-05
SMF,-15.0,1.52388403596,33.9314682618,1.52396574355,32.4075842258,8.17075837634e-05
SMF,-14.0,1.88747021289,36.0102281882,1.88762033146,34.1227579753,0.000150118566789
SMF,-13.0,2.3293383815,38.0093126779,2.329592171,35.6799742964,0.000253789505915
SMF,-12.0,2.86235405869,39.9108366213,2.86275935901,37.0484825627,0.000405300326919
